Year,State,County,loc_ID,x,y,e_1_1,e_1_2,e_1_3,e_1_4,e_1_5,e_1_6,e_1_7,e_1_8,e_2_1,e_2_2,e_2_3,e_2_4,e_2_5,e_2_6,e_2_7,e_2_8,e_3_1,e_3_2,e_3_3,e_3_4,e_3_5,e_3_6,e_3_7,e_3_8,e_4_1,e_4_2,e_4_3,e_4_4,e_4_5,e_4_6,e_4_7,e_4_8,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,rs_1_1,rs_1_2,rs_1_3,rs_1_4,rs_1_5,rs_1_6,rs_2_1,rs_2_2,rs_2_3,rs_2_4,rs_2_5,rs_2_6,rs_3_1,rs_3_2,rs_3_3,rs_3_4,rs_3_5,rs_3_6,rs_4_1,rs_4_2,rs_4_3,rs_4_4,rs_4_5,rs_4_6,rs_5_1,rs_5_2,rs_5_3,rs_5_4,rs_5_5,rs_5_6,yield
2017,MICHIGAN,JACKSON,149,-84.42529489,42.24811574,56.2,34.4,0,0.5,21.1,30.4,81.3,106,78,53.1,53.2,69.5,39.6,85.7,102.5,93.9,17.9,12.1,0.2,1.9,7.1,6.3,17,19.5,6.8,1.8,-5.9,-4.6,-3.2,-2.8,5.3,8.3,47.4,63.5,63.5,71.9,87.7,87.7,87.7,70.9,14847.5,14931.5,15321.5,15035,14862.75,14844.5,13832.75,14142,14474,14567.75,14372.5,14316,1383.25,1341.5,713.5,437,430.25,675.75,2654,2757,3559.5,4208.75,4073,3155.5,2618.25,2239.5,1430,851,794.5,957.75,75.8
2018,MICHIGAN,JACKSON,149,-84.42529489,42.24811574,62,34.3,0,0,0.6,17.6,69,107.9,78.4,98.2,30.4,33.3,80.3,48.6,72.6,136.2,18.2,8.1,-0.2,-0.5,2.8,5.4,10,24.3,7.1,-0.8,-8.2,-8.8,-6.5,-4,-1.2,11.9,27.9,86.8,86.8,86.8,87.7,87.7,87.7,87.7,14547,15485.25,15277,14974.75,14964.75,14907.5,13568,14362,14598.5,14526,14555.25,14374.75,1933.5,1429.75,928.25,398,537,897.5,2927.5,3000,3678,5382.5,5007,2550.25,2785.5,2398.25,1677.75,1005.75,1088,1553.25,70
2019,MICHIGAN,JACKSON,149,-84.42529489,42.24811574,54.2,13.8,4.6,0,0,15.8,71.6,87.3,87.2,82.3,64,39.9,45.5,66.3,99.5,133.9,15.8,4,4,-1.3,1.5,5.7,14.4,20.8,5,-1.9,-3.5,-9.6,-7.5,-4.5,2.6,7.9,84.1,87.7,87.7,87.7,87.7,87.7,87.7,87.7,14724.5,14924,15172.75,15113.25,14873.75,14916,13736.75,14077.5,14439.75,14585.25,14497,14362,1531.5,1253.75,1050.25,413.5,1328,516.75,2728.25,2736,3279,4709.5,4719,3418,2878.25,2471.25,2044.75,854,1010,977.5,64.5
2020,MICHIGAN,JACKSON,149,-84.42529489,42.24811574,60.4,13.7,12.4,2.5,0,54,69.7,107,106.6,45.7,56.9,81.4,35,63.4,70.6,116.5,16.9,5.3,4.9,3.2,1.7,9.3,12.9,20.2,5,-3.4,-2.7,-4.8,-7.1,-1.1,0.9,7.6,71.4,87.1,87.7,87.7,87.7,87.7,87.7,87.7,14847.5,14716.5,15246.75,15042.75,15120.5,14974.25,13692.5,13881.25,14514.25,14620.25,14464,14234.5,1462.75,1746.5,891.5,425.75,635.5,988,2675,3139.75,3648,4869,4226.5,2815.25,2685.5,2271.75,1733.75,922.25,1067,1555,64.9
2021,MICHIGAN,JACKSON,149,-84.42529489,42.24811574,45.4,47.8,5.7,0,0,62.9,69.8,93.5,44.9,50.2,33.1,36.4,34.2,54.3,40.9,73.2,15.4,11.4,3.7,1.6,-2.5,10.8,15.6,20.7,3.7,2.5,-3.6,-6.4,-11.3,0.4,3.6,8.1,14.2,14.1,18.9,18.9,18.9,87.7,57.8,33.9,14840.5,14888.75,15485.5,15021.25,15003.5,15058,13682,14142,14617,14541.25,14551.5,14318,1488.5,1930.5,1005.5,486.25,395.5,880,2754.25,3356.75,3492,5058,4669.25,3270.5,2585.5,2657,1891.25,1048,906.5,1174,63.5
2003,MICHIGAN,KALAMAZOO,150,-85.53097924,42.24507315,48.1,29.2,0.8,0,0,24.8,78.9,91.9,49.1,51.8,44.8,28.2,28,47.1,81.3,146.5,14.02,6.95,1.92,-2.8,-1.41,7.47,14.37,18.98,3.9,-0.78,-5.48,-10.53,-10.62,-4.37,1.91,7.41,16.7,36.5,38.9,38.9,38.9,101.8,101.8,101.8,14874,14833.75,15098.75,14915.75,15044,14806,13712.25,14065,14374.5,14495.5,14461,14088.25,905.5,636.75,500.25,441,410.5,464.5,2529.75,3639,3722.5,4412,3503.5,2903.5,1629.5,1230.75,937.5,951,931,925,70
2004,MICHIGAN,KALAMAZOO,150,-85.53097924,42.24507315,60.3,29.6,3.4,0,0,37.7,67.7,99.5,63.4,107.2,52.6,52.1,21,78.4,23.4,182.1,15.98,9.96,3.02,-2.64,1.39,8.72,16.36,21.68,3.89,1.52,-3.58,-10.96,-8.42,-0.18,3.24,9.66,41.5,101.8,101.8,101.8,101.8,101.8,58.7,101.8,14671.25,14747.25,14842.25,14988.25,14838.5,14812,13823.25,14140.75,14383.5,14459.25,14325,14198.75,702,534,431.75,353.25,390.75,548.5,2678.75,3383.75,4023.25,3904.5,3449.5,2848.75,1437.75,947.25,822,757.75,813.75,1058,50
2005,MICHIGAN,KALAMAZOO,150,-85.53097924,42.24507315,62.7,30.7,0,0,0.6,5.9,99.7,92,69.1,94.6,59.3,111,63,44.2,26.8,54,16.23,9.4,1.83,-1.04,2.14,4.97,16.81,19.38,5.2,1.27,-5.98,-9.07,-5.97,-5.47,3.35,6.81,37.5,96.7,96.7,96.7,101.8,101.8,101.8,61.1,14668,14951.75,15109,15179,15071.5,14973,13838.25,13959,14495.25,14560.5,14415.75,14331.25,751,660,467,427.75,503.75,517.5,2804,3573.75,3792,3504.25,3294.5,2525,1407.5,1183.75,983.25,861.75,1022.5,971.25,50
2006,MICHIGAN,KALAMAZOO,150,-85.53097924,42.24507315,11,45.1,0,13,0,39.5,82.9,107.8,9.2,85.2,62.2,86.9,45,77.5,51.5,135.6,17.12,10.15,-1.58,4.87,1.6,7.57,17.07,20.48,6.04,0.27,-6.88,-1.81,-7.42,-2.67,3.82,8.81,13.5,49.4,49.4,101.8,101.8,101.8,80,101,14681,14705.25,15059.75,15064.75,14906.5,14723,13873.75,14253.75,14461,14599.25,14448.5,14174.75,912.5,1729.5,411.5,366.75,391,523.75,2747.75,4034.5,4006.5,4116.75,4011,2984,1709.75,1119,861.5,788.5,840.75,937.25,57
2007,MICHIGAN,KALAMAZOO,150,-85.53097924,42.24507315,59.2,31.5,19.4,0,0,47.6,82.9,111,120.2,63.3,85.7,78.3,47.8,65.9,93.8,61.2,13.97,9.5,5.33,1.37,-4.21,10.03,13.32,23.89,3.35,1.03,-1.68,-5.71,-12.48,-0.82,2.01,9.87,87.5,101.8,101.8,101.8,101.8,101.8,101.8,49,14529.25,14808,15014.25,14958.25,15006,14857,13811.75,14168.25,14386,14498.75,14558.5,14283,1219.5,894.75,539.5,374.75,355.5,422.5,2906.25,3784,3865.25,3743.75,3564,2736.25,1544,1305.25,1066.75,799.5,820,851.25,50
2008,MICHIGAN,KALAMAZOO,150,-85.53097924,42.24507315,73,40.5,0.8,0,0,12,93,98.5,77.7,48.6,87.1,93.1,104,54.6,63.6,61,19.92,8.15,1.28,0.71,-0.9,4.98,16.35,19.49,8.89,-0.77,-5.12,-7.88,-9.72,-4.06,3.2,6.47,51.4,57.1,62.1,62.1,62.1,101.8,101.8,61.1,14475,14801.75,15066,14985,14895.75,14755.5,13905,13997.5,14338,14490.75,14450.5,14159.5,1117,720.25,565.25,389.25,424.5,408.75,2425.75,3166.75,3879,3862,3920,2832,1612.25,1230,1009,756.5,832.25,745.25,54
2009,MICHIGAN,KALAMAZOO,150,-85.53097924,42.24507315,68.4,32.4,0,0,0,53.3,81.5,110.7,67.7,58,128.9,35.3,79.2,103.2,141.2,89,15.93,7.41,0.73,-4.18,2.11,9.28,14.36,21.04,3.91,-0.62,-7.67,-13.57,-7.72,-2.86,2.81,8.27,97.7,101.8,101.8,101.8,101.8,101.8,101.8,75.6,14651.5,14849,14866.5,14941.75,14819.75,14691,13611.75,14078.5,14462,14392.75,14379.25,14175,1095.75,773.5,603.25,755,307.25,1323.5,2422,3344.5,3308.25,4215.5,3808.5,3497,1848.75,1323,881.25,864.75,691.5,1607.75,65
2010,MICHIGAN,KALAMAZOO,150,-85.53097924,42.24507315,54.7,32.8,0,0,0,53.1,95.4,117.3,156.2,32,82.3,25.5,42.7,30.9,79.6,151.9,13.52,11.21,0.83,-1.39,-0.41,10.72,18.66,22.23,4.36,1.98,-5.46,-7.97,-7.13,-1.12,5.15,10.81,101.8,99.4,99.4,99.4,99.4,101.8,84.2,101.8,14691.5,14743.5,14970.5,15054.5,14892,14789.5,13767,14251.75,14464.25,14587.25,14545.5,14173.75,815.5,1019.5,557.5,363.25,344,592.25,2684.75,3927.75,4079.75,3969.5,3225.25,2640.5,1437.75,1476.75,983.5,770.25,760.5,1052,67
2011,MICHIGAN,KALAMAZOO,150,-85.53097924,42.24507315,50,41.4,0,0,0,27.8,70.8,103,46.8,68.2,37.7,31.9,73.4,77.8,148.8,150.1,18.13,10.65,-0.99,-2.69,0.09,6.37,13.76,21.17,5.59,-0.53,-6.88,-10.02,-8.53,-3.47,3.25,10.25,19.7,43,43,43,43,101.8,101.8,101.8,14394.5,14707.25,14963.75,15030,14890.75,14694,13647.25,14146.75,14562.75,14698.75,14481,14098.75,1075,775.25,1821.5,409.25,290,465,2591.75,3288.75,4786,4209.75,3912.5,3068.75,1643.5,1394.25,1937.75,917,650.5,758.25,61
2012,MICHIGAN,KALAMAZOO,150,-85.53097924,42.24507315,70.2,44.4,15.7,1.1,3.5,64,82.8,107,81.7,106.1,73.9,62.9,44.1,72.8,61,69.8,17.33,11.35,4.62,2.82,3.84,14.57,15.66,24.48,5.29,2.22,-1.77,-5.57,-4.38,3.08,2.86,11.21,59.4,101.8,101.8,101.8,101.8,101.8,76.9,36.2,14492,15073.25,15236.75,15332.5,15073.75,14881.25,13893,14198.25,14476.5,14648.25,14453.25,14062.5,806,620.75,668.75,532.75,443,541.25,2832.25,3327,3654.25,3334.25,3125.75,2791.75,1363.25,1113.5,1273.75,988.75,936,947.75,59
2013,MICHIGAN,KALAMAZOO,150,-85.53097924,42.24507315,64.5,24.5,14.5,0,0,6.9,71.2,110.6,116.3,15.4,65.1,91.3,62.6,32,166.7,92.8,15.42,9.15,5.18,1.77,0.48,4.11,13.01,23.37,5.19,-0.98,-1.82,-6.82,-7.93,-4.33,2,10.41,59.9,50,90.9,90.9,90.9,101.8,101.8,79.3,14589.5,14884.75,15084,15042.25,15025.75,14923.75,13774.5,14098.75,14394.25,14499,14474.5,14306.25,1221.5,721,627.25,344.75,395.75,519.75,2216,3314.25,3764.75,4004,3430.75,2761,1812.75,1255.5,1077.25,740.5,757.75,889.75,63
2014,MICHIGAN,KALAMAZOO,150,-85.53097924,42.24507315,59.9,35.8,0,0,0,0,92.3,110.4,119.6,59.5,65.8,69.2,64.1,39.6,76.9,106.9,17.16,7.1,0.02,-3.73,-3.71,3.13,15.21,21.63,5.89,-0.93,-6.98,-12.98,-13.03,-7.71,2.35,9.16,79.8,100.3,100.3,100.3,100.3,100.3,101.8,93,14596,14695,14950.25,14950.75,14990.5,14740.5,13649.5,14164.5,14510,14439.25,14538.75,14104.25,1171.25,1609.75,577.25,448,324.75,501.75,2313.5,3517.75,4284.75,4418,3573.5,2841.5,1954.5,1725.75,1077.75,910.75,659,768,59.5
2015,MICHIGAN,KALAMAZOO,150,-85.53097924,42.24507315,59.1,18.8,3.9,0,0,14.3,86,107.4,92.4,65.8,38.4,43.1,31.1,29.7,92.6,111.7,15.92,5.34,3.17,-1.79,-5.3,5.97,15.76,22.77,5.29,-2.68,-2.92,-9.87,-15.66,-4.87,2.56,10.75,95.4,101.8,101.8,101.8,101.8,101.8,101.8,100.5,14845.5,14811.75,15047.25,14988.75,14939.5,14790.5,13820,13954,14385.5,14548.25,14479.75,14287.25,1010.25,723.5,543.5,369,310.75,421.25,2244.25,3166,3761.25,4109.75,3616.75,2991,1884.25,1258.5,974.75,755.5,713.75,820,70.8
2016,MICHIGAN,KALAMAZOO,150,-85.53097924,42.24507315,67,47.1,25,0,1.3,46,80.2,105.8,67.9,67.6,93.3,35.4,43.1,103.5,80.7,85.2,16.82,12.39,7.83,0.4,3.1,10.6,14.1,21.6,6.14,1.81,0.84,-7.3,-5.8,0.2,2.3,8.9,38.6,55.8,101.8,101.8,101.8,101.8,99.1,74.2,14594,14873.5,15093.75,14984.75,14900.25,14807.75,13844,14046.25,14485.5,14590.25,14479.75,14399,840,818.5,659.5,401,335.75,423,2403.25,3856,3968.5,4465.25,3811,3060.5,1422.75,1301.5,1113.75,808.25,702.75,815.25,61
2017,MICHIGAN,KALAMAZOO,150,-85.53097924,42.24507315,60.5,37.3,0,0.7,24.4,40.7,84.7,112.2,107.7,58.5,58.2,88.2,47.9,91.7,129.8,102.9,18.6,12.4,0.3,2.2,7.6,7.1,17.4,20,7.6,2.6,-5.6,-4.5,-3,-2.3,5.4,8.5,87.3,101.8,101.8,101.8,101.8,101.8,101.8,87.3,14622.75,14754.25,15117.25,15019.75,14832,14885.25,13822.75,14116.5,14427,14504.75,14384.5,14413.25,941.75,1394.75,687.25,362.5,336.5,447.5,2740.75,3989.25,3796,4093.75,4214.5,2873.75,1655,1606.5,1233,808.5,707.75,819.25,69.5
2018,MICHIGAN,KALAMAZOO,150,-85.53097924,42.24507315,65.6,36.6,0,0,0.7,27.2,71.4,110.7,98.6,92.2,30.7,41.8,98.5,48.5,81,155,18.4,8.3,0.1,0,3.1,6.1,10.3,24.7,7.7,-0.3,-7.7,-8.5,-6.5,-3.8,-0.9,12.2,46.5,97.4,97.4,97.4,101.8,101.8,101.8,101.8,14488.25,14929.5,15100.75,14951.75,14916,14872.75,13542.75,14382.25,14477.25,14535.75,14502.75,14255.25,1166.5,810,495.5,372.75,843.25,483.5,2447,3536.5,4163.75,3930,4190.25,2758,1887.25,1455.5,1089.75,776.75,932.25,859.25,65
2019,MICHIGAN,KALAMAZOO,150,-85.53097924,42.24507315,56.6,18.9,7.2,0,0,19.8,75.5,92,121.8,81.5,74.1,54.3,61,66.8,107.5,197.6,15.9,4.2,4.3,-1,2,6.1,14.9,21.1,5.6,-1.3,-3.1,-9.5,-7.4,-4.4,2.9,8.1,101.8,101.8,101.8,101.8,101.8,101.8,101.8,101.8,14615.75,14782,14901.5,15091,14897.25,14822,13857.5,14165.5,14394.75,14550.5,14465.25,14351,765.75,836,884.25,409.5,941.75,408.75,2145.25,3340.25,4016.5,4014,3924.75,3137.75,1535.5,1435.75,1214.75,821.5,1199.5,772,69.3
2020,MICHIGAN,KALAMAZOO,150,-85.53097924,42.24507315,62.9,20.3,15.3,2.9,0,55.8,70.9,112.5,143.8,41.5,60.9,90.4,38.8,62.2,95.3,143.1,16.9,5.7,5.1,3.4,2.3,9.6,13.2,20.8,5.2,-2.8,-2.4,-4.7,-6.7,-1,1.1,8.2,101.8,101.8,101.8,101.8,101.8,101.8,101.8,101.8,14514.75,14626.25,15151.75,15009,15014.5,14757.25,13852.5,13903.75,14510.75,14576.25,14487.75,14164,833.25,864.25,538.75,701,406.5,451.75,2398.5,3232.25,3904.75,3902.25,3754.5,3217.75,1535.25,1279.75,1017.25,975.25,839.25,732.5,66.9
2021,MICHIGAN,KALAMAZOO,150,-85.53097924,42.24507315,56.4,41.3,7.6,0,0,64.4,73.7,94.4,58.6,40.9,51,44.1,41.2,58.7,49.4,58.3,15.6,11.9,3.9,1.9,-2,11.1,15.8,21.4,4.1,3.1,-3.3,-6.2,-11,0.5,3.7,8.8,18.7,16.3,29.2,29.2,29.2,101.8,76.3,37.3,14593,14818,15282.5,15039.75,14963.75,14944,13764.5,13943.5,14465.25,14530,14547,14339,945.75,816.75,522.75,306,257,690.75,2376.75,3587,3599.75,3835.25,3624.25,3198,1593,1410,1040.25,684,596.25,964.25,69.7
2003,MICHIGAN,KENT,151,-85.55047132,43.03106585,53.1,28.6,0.9,0,0,14.9,76.7,93.3,59.8,51.4,41,26.5,25,46.2,76.3,117.4,13.59,6.93,2.05,-2.82,-1.72,6.66,13.7,18.85,3.58,-0.83,-5.16,-10.35,-10.86,-4.91,1.33,6.81,25.7,45.6,48,48,48,96.1,107.3,107.3,15021.75,14890.5,15176.25,15104.5,15202.25,14879.5,13900.75,14176.75,14493.25,14643.5,14578,14217.25,1026,691.75,585,876.5,816.25,721.5,2704,3207,3365.75,3812,3478.75,2847.25,1793.5,1214.5,1114.5,1198.25,1412,1223.25,60
2004,MICHIGAN,KENT,151,-85.55047132,43.03106585,51.6,29.7,4.6,0,0,36.6,75.8,97.4,52.9,159.9,44.8,60.8,29.9,93.5,49.3,198.8,15.66,9.68,3.32,-2.82,1.11,8.06,15.87,21.14,3.79,1.55,-3.36,-11.11,-8.54,-0.64,2.77,8.93,18.2,107.3,107.3,107.3,107.3,107.3,82.5,107.3,14741.5,14777.5,15112.25,15066,14959.5,14910.25,13893.25,14218,14455.25,14564.25,14427.75,14286.25,842.25,806.75,504.5,567.25,533.25,635,2913.5,3262.5,3584.5,3801.25,3567.25,3054,1525.25,1089.5,861.25,982.25,956.5,1108.25,53
2005,MICHIGAN,KENT,151,-85.55047132,43.03106585,60.6,29.9,0,0,0,2.9,98.6,88.2,88.3,91.8,74.5,100.8,50,49.1,21,48.2,16,9.17,1.76,-1.31,1.74,4.22,16.42,18.98,5.2,1.14,-5.78,-9.17,-6.01,-6.11,2.83,6.41,51.2,107.3,107.3,107.3,107.3,107.3,107.3,64.9,14719.25,14950,15210.5,15175.5,15079.5,15043.25,13966.25,14109.75,14600.25,14745.75,14580.75,14472.25,805.25,644.75,628,540.25,498,603.5,3224.25,3921.5,3703.75,3501.25,3285.25,2936,1404.75,1081,1032.25,950.5,856.5,1042.5,58
2006,MICHIGAN,KENT,151,-85.55047132,43.03106585,12.4,44.2,0,12.1,0,33.5,93.1,107.1,9.9,127.1,69.6,90.8,45.4,84.2,66.7,130.9,16.9,9.89,-1.45,4.48,0.97,6.89,16.57,20.43,5.83,0.33,-6.49,-1.81,-7.61,-3.08,3.35,8.48,15.7,92.3,92.3,107.3,107.3,107.3,105.5,107.3,14873,14821.5,15312.25,15336.75,15015,14844,13973.75,14233.5,14511.25,14769.25,14600.25,14280,841.25,780.75,817.5,743.75,543,570,2922,3568.25,3624.5,3455.5,3642.5,3173.25,1382.75,1134,1268,1342,943.5,954.75,71
2007,MICHIGAN,KENT,151,-85.55047132,43.03106585,57.5,31,21.3,0,0,47.6,79.8,111.2,122.2,72.1,87.3,61.9,49,88.1,102.4,64,13.58,9.48,5.32,1.27,-4.3,9.27,12.83,23.53,3.17,1.1,-1.38,-5.72,-12.16,-1.26,1.54,9.32,104.2,107.3,107.3,107.3,107.3,107.3,107.3,56.9,14666.75,14847.75,15171.5,15248,15158.25,14857.25,13918.5,14189.75,14534,14667,14684,14310.75,829.75,1036.75,568.75,726.5,444.75,512.25,2851.5,3561.25,3413.25,3427,3606.75,3034.75,1546.5,1217.75,1016.25,1271.5,830.25,885,51
2008,MICHIGAN,KENT,151,-85.55047132,43.03106585,69.5,35.1,0.9,0,0,7.1,93,94.1,78.4,34.6,90.3,90.1,86.8,43,93.5,46.7,19.5,7.92,1.35,0.43,-1.29,4.36,16.05,19.43,8.72,-0.81,-4.97,-7.57,-9.88,-4.48,2.85,5.91,35.6,33.4,38.9,38.9,38.9,84.9,107.3,57.5,14495,14934,15116.75,15088.75,15052.25,14845.5,13681.25,14065.5,14479.75,14602.25,14528.75,14208.5,899.75,641,587.25,629.5,569.25,669,2705.5,3357,3594,3823,3495.75,3204,1502.75,1136.25,1003.75,1110.25,983.5,1079.75,59.5
2009,MICHIGAN,KENT,151,-85.55047132,43.03106585,65.5,32.7,0,0,0,47.1,82.7,112.9,63.7,73.5,159.9,29.3,76.8,85.2,137.3,92,15.62,7.32,0.49,-4.27,1.7,8.16,13.99,20.81,3.94,-0.34,-7.6,-13.32,-7.87,-3.34,2.22,7.87,102.3,107.3,107.3,107.3,107.3,107.3,107.3,81.8,14776.25,14995,15009,15015.75,14953.75,14790.75,13848.75,14169.5,14599,14507.75,14481.75,14286.75,1043.5,728.5,634.75,657.25,571,535,2703.25,3455.5,3973,4007.25,3787.5,3030.75,1706.75,1149.5,1012.25,1154.25,996.5,891,63
2010,MICHIGAN,KENT,151,-85.55047132,43.03106585,52.4,33.5,0,0,0,54.5,93.9,111.7,155.5,36.2,70.2,23.3,29.3,27.1,79.1,106.3,13.16,11.17,0.84,-1.32,-0.38,10.21,18.01,22.11,4.21,2.11,-5.31,-7.68,-6.84,-1.4,4.63,10.14,107.3,107.3,107.3,107.3,107.3,107.3,90.8,80.1,14766,15055.75,15157.75,15149,15073.75,14891.75,13890,14237,14522.5,14746.25,14661.25,14252.75,994.75,636.25,534.5,569.25,481,646.25,3198.5,3542.5,3864.75,3856,3199.75,3140.5,1568.25,1019.75,925.75,970.75,845,1024.25,63.2
2011,MICHIGAN,KENT,151,-85.55047132,43.03106585,66.9,41,0,0,0,13.3,69.7,107.7,68.2,61.9,39.2,30.5,57.9,79.7,140.6,133.2,17.87,10.5,-0.57,-2.77,-0.02,5.34,13.19,20.95,5.45,-0.16,-6.26,-9.89,-8.45,-4.28,2.39,9.51,23.9,41.7,41.7,41.7,41.7,103.4,107.3,107.3,14736.5,15067,15027.75,15241.5,15132,14859.75,13753.75,14090,14674.75,14830,14544.25,14203.75,950.75,780.75,947.25,517.25,598.5,627.75,2623,3422.25,3537.25,3315.25,3265.25,3128,1604.5,1313.5,1016.5,946,1059.75,1006.5,67.1
2012,MICHIGAN,KENT,151,-85.55047132,43.03106585,68.5,44,17.1,1.1,3,62.3,82.1,108.1,81.2,103.2,69.5,63.6,40.9,73.4,62.9,71.9,17.23,11.22,4.73,2.76,3.51,13.79,15.15,24.03,5.15,2.09,-1.64,-5.41,-4.39,2.65,2.32,10.61,53.4,107.3,107.3,107.3,107.3,107.3,85,45.2,14823,15117.25,15310.5,15393,15167.75,14985.25,14090,14316.25,14599.5,14802,14551.25,14236.25,779.75,724,716,643.25,829,734.75,3026.75,3421.5,3368.25,3132.5,3075.75,2728.25,1277.75,1121.75,1188.25,1128,1455.25,1190,79.4
2013,MICHIGAN,KENT,151,-85.55047132,43.03106585,64.3,26.9,15.4,0,0,4,68.8,109.1,133,17.2,74,95.7,60.7,32.1,154.9,94.1,15.52,9.08,5.21,1.54,0.13,3.53,12.25,22.96,5.16,-0.58,-1.84,-6.68,-8.28,-4.78,1.34,9.56,77.4,66.9,107.3,107.3,107.3,107.3,107.3,87.5,14673,14826.5,15056.75,15204.25,15202,14989,13758.25,14300,14496.25,14623.5,14613,14411.5,1020,1142,653.75,625.5,652,789,2542.5,3566.5,3797,3563.25,2977.5,3084,1764.75,1469.75,1062.75,1086.5,1103.75,1199,68.9
2014,MICHIGAN,KENT,151,-85.55047132,43.03106585,58.6,35.6,0,0,0,0,87.9,105.7,124.1,78.6,66.2,70.4,53.5,38.3,69.9,96.8,16.89,7.15,-0.34,-3.93,-4.05,2.41,14.55,21.27,5.63,-0.88,-7.09,-12.68,-13.08,-8.37,1.58,8.63,80.8,107.3,107.3,107.3,107.3,107.3,107.3,93.6,14540,14730,15102.25,15107.25,15077.25,14788.75,13858.5,14243.5,14517.75,14496.75,14621.5,14366.25,1611.5,889.5,694,578.25,560.75,515.25,2863.75,3355.25,3702.25,3585.25,3365,3375,1989.75,1335.5,1096,1042.75,969.25,890.5,68.3
2015,MICHIGAN,KENT,151,-85.55047132,43.03106585,57.8,20.3,4.5,0,0,11.2,86.2,103.1,102.1,80.2,41.6,41.5,25.9,25.5,87.9,100.6,15.7,5.32,3.21,-1.79,-5.51,5.71,15.27,22.4,5.09,-2.51,-2.72,-9.77,-15.79,-5.18,1.87,9.89,98.1,107.3,107.3,107.3,107.3,107.3,107.3,99.7,14790.25,14918,15194.75,15121.25,15068,14942,13799.5,14170.25,14465.75,14658.25,14584.75,14337.5,968.5,625.5,522,596,505,604,2862.5,3132,3417.75,3628.5,3607.5,3179.25,1644.25,1025.75,917,994.25,914.75,991.75,80
2016,MICHIGAN,KENT,151,-85.55047132,43.03106585,69.5,46.9,25.2,0,1.1,44.3,75.7,105,74.5,81.4,96.4,38.6,38.9,109.7,71.5,78.3,16.52,12.46,7.76,0.2,2.6,9.7,13.4,21.9,5.98,2.02,1.02,-6.8,-5.9,-0.5,1.5,8.4,30.7,61.1,107.3,107.3,107.3,107.3,100.7,70.1,14746.5,15003.25,15259.75,15197.25,15070.5,14930.25,13875,14249.5,14616,14708.25,14615,14421,837.5,698.5,619.75,686,503.75,590.25,2829.5,3822.5,3691.75,3912.25,3439.25,3340.75,1427.75,1191.75,988.5,1076.5,888.5,982.25,80.7
2017,MICHIGAN,KENT,151,-85.55047132,43.03106585,56.4,37.9,0,0.6,17.2,31.3,83.8,104.5,112.8,71.1,64.6,90,44.7,90.8,127.3,81.9,18.1,12.6,0.6,1.6,6.5,6.1,17,20,7.1,2.8,-5,-4.6,-3.5,-2.8,4.7,7.8,105.7,107.3,107.3,107.3,107.3,107.3,107.3,80.5,14754.25,14859.25,15271,15223.5,15023.75,15002,13819,14170.25,14609.25,14664.75,14495.25,14443.5,887.75,1823.25,674.25,696.25,631,592.75,2922.75,4081,3398.75,3465.25,3233.5,3000.25,1668,1897.5,1156,1223,994.5,1000,66.1
2018,MICHIGAN,KENT,151,-85.55047132,43.03106585,66.3,36,0,0,0,19.6,70.2,114.2,108.4,96.7,34.4,44.3,78.8,43.5,85.1,148.2,18.3,7.9,-0.1,0,2.4,5.5,9.6,24.6,7.7,-0.5,-7.4,-8.2,-6.7,-4,-1.7,11.3,54.6,107.3,107.3,107.3,107.3,107.3,107.3,107.3,14410.25,15270.25,15283.75,15148.25,15077.5,14886.75,13604.5,14486.25,14741.75,14675,14666.25,14379,1185.5,780,639,544.25,625,623.75,2606,3398.25,3821,3618.25,4112.5,2970,1885.75,1286,1126.5,973.5,1089.5,993.25,68.1
2019,MICHIGAN,KENT,151,-85.55047132,43.03106585,54.3,16.8,8.5,0,0,6.5,74.4,92.5,137.3,86.3,73.9,62.1,72.5,62.5,83.8,170.5,15.2,4.1,4.3,-1.4,0.8,4.9,14.2,20.5,5,-1.6,-2.8,-9.6,-8.4,-5.3,2,7.1,107.3,107.3,107.3,107.3,107.3,107.3,107.3,107.3,14641.75,14995,15176.75,15185.5,14999,14978,13844.25,14160.25,14526.5,14670.25,14565.25,14408.5,914.75,730.25,614.75,561.25,487,509.5,2755,3333,3615,3354,3273.5,3007.5,1636.75,1073,1040.5,1010,873,856.5,61.9
2020,MICHIGAN,KENT,151,-85.55047132,43.03106585,58.6,16.7,11.1,2.3,0,54.1,72.8,112.7,153.2,57.2,80.1,77.3,30.2,64.1,76.7,152.6,16,5.4,4.6,3.1,1.7,8.9,13,20.6,4.5,-3,-2.7,-4.8,-7.1,-1.4,0.8,7.5,107.3,107.3,107.3,107.3,107.3,107.3,107.3,107.3,14725.75,14787,15218.75,15179.75,15209.75,15029.75,13821.75,14188,14651.25,14745.25,14597.5,14343.5,879.75,776.75,712,529.25,660,710,2748,3404.5,3703,4278,3048.25,3011,1414.5,1304.25,1173,961.25,1175.75,1171.25,51.2
